MIC YST Plate Reader - Results Report

Row,Antifungal,Full Name,MIC (mg/L),MIC Column,Inhibition Threshold,Note
A,AND,Anidulafungin,0.032,4,50%,
B,MIF,Micafungin,0.064,5,50%,
C,CAS,Caspofungin,0.064,5,50%,
D,POS,Posaconazole,≤0.004,1,50%,≤0.004
E,VOR,Voriconazole,0.125,6,50%,
F,ITR,Itraconazole,0.032,4,50%,
G,FLU,Fluconazole,32,10,50%,
H,AMB,Amphotericin B,2,10,90%,


"Growth Scores (0=inhibition, 1=growth)"
Row/ATM,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12
A-AND,0.797,0.725,0.684,0.245,0.106,0.053,0.057,0.053,0.046,0.053,0.062,0.084
B-MIF,0.758,0.724,0.665,0.565,0.146,0.156,0.150,0.157,0.120,0.082,0.041,0.070
C-CAS,0.803,0.725,0.676,0.555,0.358,0.193,0.189,0.166,0.152,0.100,0.058,0.055
D-POS,0.347,0.096,0.060,0.132,0.183,0.182,0.186,0.158,0.170,0.131,0.079,0.054
E-VOR,0.780,0.680,0.661,0.561,0.505,0.155,0.153,0.171,0.166,0.129,0.084,0.077
F-ITR,0.774,0.758,0.548,0.137,0.096,0.185,0.166,0.176,0.140,0.098,0.094,0.120
G-FLU,0.848,0.738,0.675,0.573,0.554,0.572,0.539,0.544,0.520,0.499,0.077,0.304
H-AMB,1.000,0.718,0.736,0.710,0.699,0.702,0.709,0.707,0.319,0.070,0.043,0.139

Concentration Reference (mg/L)
Row/ATM,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12
A-AND,0.004,0.008,0.016,0.032,0.064,0.125,0.25,0.5,1,2,4,8
B-MIF,0.004,0.008,0.016,0.032,0.064,0.125,0.25,0.5,1,2,4,8
C-CAS,0.004,0.008,0.016,0.032,0.064,0.125,0.25,0.5,1,2,4,8
D-POS,0.004,0.008,0.016,0.032,0.064,0.125,0.25,0.5,1,2,4,8
E-VOR,0.004,0.008,0.016,0.032,0.064,0.125,0.25,0.5,1,2,4,8
F-ITR,0.004,0.008,0.016,0.032,0.064,0.125,0.25,0.5,1,2,4,8
G-FLU,0.064,0.125,0.25,0.5,1,2,4,8,16,32,64,128
H-AMB,K,0.008,0.016,0.032,0.064,0.125,0.25,0.5,1,2,4,8
